name|description|website|founded_year|stage|sector|business_model|headquarters|employee_count|status|total_funding|last_funding_date|exit_date|exit_value
Arsenale bioyards|Arsenale is transforming biomanufacturing with a proprietary end-to-end platform that integrates advanced hardware, AI-driven software, and precision fermentation. Designed to bridge the gap from lab-scale innovation to industrial-scale production, Arsenale enables industries like food, chemicals, and materials to seamlessly develop and scale bio-based alternatives to petrochemicals and animal-derived products. By empowering companies to co-design with nature, Arsenale aims to drastically reduce costs by up to 90% while also significantly shortening the timeline for industrial-scale adoption of sustainable products. Headquartered in Milan, Italy, with operations in Pordenone and the US, Arsenale is building the industrial backbone of the bio-economy.|https://arsenale.bio/|2023||Software, AI, Sustainability, FashionTech||Milan, Italy|11-50|active||||
Artemis Leads|In difficoltà a trovare nuove lead? Silenzio di tomba dopo aver mandato centinaia di cold email? Non avete tempo per cercare nuovi clienti?|https://www.artemisleads.com/|2024||B2B, Marketing, Software||Milan, Italy|1-10|active||||
Aryel|Aryel is a fast-growing AdTech scale-up on a mission to fight boring ads with immersive technologies. We help agencies and brands create, distribute, and optimize ad campaigns through our unique platform. Available as both a self-service and managed service, our platform delivers high-performing ads designed for the next generation of users, leveraging 3D, augmented reality, and virtual reality. As the only provider of In-Banner AR Creatives that can be distributed programmatically, we’re changing the way ads connect with audiences. These formats collect data at a creative level, providing detailed insights that enable maximum optimization and enhance overall creative effectiveness.|https://aryel.io/|2019|Seed|AR, Marketing, AdTech, 3D||Milan, Italy|51-200|active||||
ASPIDIA|"""ASPIDIA srl is an innovative biotech startup committed to the design, management, and development of scientific research projects regarding (i) the bioremediation of pollutants through the use of recombinant enzymes and (ii) the use of probiotics as vectors for the presentation of antibodies and/or antigens on mucosal surfaces."|https://www.aspidia.com/|2021||BioTech||Milan, Italy|1-10|active||||
Athena|Athena is an AI-powered Search Assistant designed to revolutionize how organizations interact with their data and documents. By enabling seamless search, interaction, and conversation with complex information, Athena provides businesses and educational institutions with a powerful tool to unlock the full potential of their resources.|https://athenaitaliasu.wixsite.com/athena|2024||Software, AI||Milan, Italy|1-10|active||||
Aura System|Design e sviluppo di sistemi sostenibili per la purificazione dell'aria con l'obiettivo di migliorare gli ambienti e vivere meglio.|https://aurasystem.it/|2020||GreenTech||Milan, Italy|1-10|active||||
Aurea Hub|Aurea is a fintech startup that aims to bridge the gap between centralized and decentralized finance by offering a platform that allows users to invest in fractional assets (e.g. stocks, ETFs, cryptocurrencies, and tokenized metals) and spend their invested funds instantly using various methods such as SEPA wire transfer, debit cards, and P2P technology. The platform also includes an On/Off ramp solution for buying and sending cryptocurrencies and access to web 3.0 features through a decentralized wallet. The goal of Aurea is to provide a user-friendly, all-in-one service that combines traditional banking solutions with the ability to invest in various assets and use decentralized finance tools. In the future, the company plans to launch an educational platform that will help users fully leverage the opportunities offered by web 3.0 technology.|https://www.aureahub.com/|2022|Seed|FinTech, Blockchain||Milan, Italy|1-10|active||||
AWMS - Workforce Management|AWMS, parte del gruppo Zucchetti, è un software progettato per gestire e pianificare in modo efficiente la forza lavoro in fabbrica e nei centri logistici.|https://www.awms-system.com/|2020||Software, HR||Padova, Italy|11-50|active||||
Banca AideXa|Banca AideXa è la fintech bank esclusivamente dedicata alle micro e piccole imprese italiane. Fondata nel 2020 e guidata oggi da Roberto Nicastro e Marzio Pividori, ha costruito una rete di investitori e partner di alto profilo con un primo round di finanziamento di oltre 45 milioni €, il più grande primo round di finanziamento per una start-up fintech in Italia. A giugno 2021 AideXa ha ottenuto la licenza bancaria e ad oggi ha raccolto 96 milioni € di capitale. AideXa punta ad offrire soluzioni finanziarie semplici e veloci agli oltre 7 milioni di imprenditori (partite iva, micro, medie e piccole imprese) che producono metà del PIL e danno lavoro a metà degli occupati italiani, decisivi per la crescita, il benessere e il rilancio del nostro Paese.|https://www.aidexa.it/|2019|Series A|B2B, FinTech, Banking||Milan, Italy|51-200|active||||
B-Diagnostics s.p.a.|Una start-up innovativa nel settore della diagnostica in vitro|https://www.b-diagnostics.com/|2019||HealthTech||Milan, Italy|1-10|active||||
Behavix|Behavix è una startup innovativa e società benefit nata con una missione ambiziosa: eliminare lo spreco di cibo nelle mense.|https://www.behavix.it/|2024|Seed|FoodTech, Founded by Women||Rovereto, Italy|1-10|active|40.0|||
Beyond Knowledge|Siamo una squadra appassionata di esperti in intelligenza artificiale e analisi dei dati. Con una profonda esperienza nel settore, ci impegniamo a fornire soluzioni innovative per guidare il tuo business verso nuovi orizzonti.|https://www.beyondknowledge.ai/|2022||AI||Milan, Italy|11-50|active||||
BiHilo|🚀In BiHilo, supportiamo aziende e startup del settore MedTech nel loro processo di crescita e nel superamento delle sfide del mercato, offrendo formazione avanzata in Sales & Marketing e servizi mirati a potenziare i team commerciali.|https://bihilo.com/|2024|Bootstrapped|HealthTech, EdTech, Founded by Women, Sales||Milan, Italy|1-10|active||||
Bikeflip|Bikeflip is an online marketplace designed for the purchase and sale of bicycles and cycling-related equipment. The platform facilitates transactions between private individuals and professional retailers, offering a structured environment for listing and browsing new and used bicycles, components, and accessories.|https://www.bikeflip.com/|2020||Marketplace, Sport||Rovereto, Italy|11-50|active||||
Biocentis|Biocentis is an Imperial College London spin-out on a mission to develop eco-friendly genetic solutions to effectively and safely control the dangerous insect species that spread disease to humans, reduce biodiversity, or threaten food security.|https://www.biocentis.com/|2022||AI, Community, PetTech, HealthTech||Milan, Italy|11-50|active||||
Biomediteck & Co|Biomediteck & Co è una start up innovativa nata nel 2021 che si occupa di ricerca e sviluppo in vari ambiti scientifici. Il concept di Biomediteck & Co nasce nel periodo pre-pandemico e nel corso degli ultimi anni il suo team ha sviluppato una serie di attività di ricerca ottenendo risultati assolutamente rilevanti anche grazie alla creazione di una fitta rete di contatti che hanno portato alla concretizzazione di svariate soluzioni innovative. Un team di specialisti multidisciplinari che compongono un comitato tecnico-scientifico di alto livello in grado di analizzare e realizzare un completo piano di ricerca e sviluppo di soluzione innovative multidisciplinari.|https://www.biomediteck.org/|2021||BioTech, HealthTech||Milan, Italy|1-10|active||||
BIOMEYE|BIOMEYE è un'azienda deep tech che sviluppa soluzioni biometriche contactless per rendere la vostra esperienza frictionless, sicura e sostenibile.|https://www.biomeye.com/|2022||HealthTech||Milan, Italy|1-10|active||||
Biomycs|Innovative Biotech leveraging Synthetic Biology for a greener world. We combine cutting-edge Genome Editing Technologies with the principles of circular economy to produce natural products for cosmetic and nutraceutical companies|https://biomycs.com/|2022||BioTech||Milan, Italy|1-10|active||||
BionIT Labs|BionIT Labs è un'azienda med-tech italiana che applica le tecnologie informatiche alla bionica con l'obiettivo di Trasformare le Disabilità in Nuove Possibilità.|http://www.bionitlabs.com/|2018||BioTech, Robotics||Soleto, Italy|11-50|active||||
Biorek|BIOREK s.r.l. nasce nel 2019 con lo scopo di sviluppare test innovativi per lo screening, la diagnosi e la prognosi del carcinoma renale, basandosi su biomarcatori molecolari, derivanti da biopsie liquide (sangue intero e urine).|https://www.biorek.eu/|2019||HealthTech, B2C||Milan, Italy|1-10|active||||
Blue Hys|BlueHys è una startup innovativa italiana specializzata nell’utilizzo terapeutico dell’idrogeno molecolare. L’azienda progetta dispositivi e metodologie per il trasferimento percutaneo di idrogeno, supportato da studi clinici e ricerca scientifica. I suoi prodotti puntano a ridurre lo stress ossidativo e l’infiammazione, favorendo detox, performance sportive e benessere generale.|https://www.bluehys.com/|2022||Sport, HealthTech, Sustainability||Belluno, Italy|1-10|active||||
BONOOS|"Il mantra degli HR Manager: «La Persona al centro!», ma…i Piani di Welfare Aziendale, al centro, hanno sempre un grande «vuoto»! BONOOS è il primo ""Welfare Integration Partner"" dedicato a lavoratrici e lavoratori di Aziende e Pubbliche Amministrazioni ai quali è reso disponibile un servizio di informazione e consulenza per semplificare il take-up (accesso e fruizione) di oltre 600 bonus e agevolazioni di fonte statale, regionale e locale."|https://bonoos.it/|2023||Software, Welfare||Milan, Italy|1-10|active||||
BonusX|In BonusX, abbiamo la missione di semplificare il complesso mondo dei bonus pubblici e fiscali a livello globale, iniziando dall'Italia.|https://bonusx.it/|2020|Seed|Mobile, B2C||Milan, Italy|11-50|active||||
Borea Therapeutics|Borea Therapeutics develops next-generation gene therapy vectors using a knowledge-based capsid design platform|https://www.boreatherapeutics.com/en/contact-us/|2021||HealthTech||Milan, Italy|1-10|active||||
Brachitek|Empower seamless networking experiences, leverage valuable data analytics, and streamline internal processes for optimal efficiency. From enhancing event engagement to tracking customer interactions and optimizing workplace dynamics, we offer tailored solutions to elevate your business performance.|https://www.brachitek.com/|2022||Sales, BioTech, FashionTech, Events||Milan, Italy|1-10|active||||
Brandplane|Brandplane democratizza il content marketing tramite l'automazione per tutti. Aiutiamo le aziende a valutare le proprie esigenze di content marketing e forniamo una strategia e strumenti basati sull'intelligenza artificiale per eseguirla. Non importa quanto sia grande il loro portafoglio o quanto ne sappiano di marketing. Per professionisti del marketing, agenzie, creatori di contenuti e chiunque abbia bisogno di un modo semplice per creare, gestire e distribuire contenuti di marketing tramite tecnologie moderne, sicure e affidabili.|https://www.brandplane.co/|2023||Marketing, Founded by Women, SaaS||Milan, Italy|11-50|active||||
BRUM|Se chiedi a tre persone cresciute negli anni '80 come hanno ottenuto la patente, e se poni la stessa domanda ad altre tre persone cresciute negli anni 2000, è probabile che riceverai sempre la stessa risposta. Ecco perché nasce BRUM.|https://www.brumpatenti.it/|2024||B2C, EdTech, Mobility||Milan, Italy|1-10|active||||
brumbrum|Nato nel 2016, brumbrum è il primo e-commerce italiano di auto usate. Grazie alla nostra vetrina virtuale su brumbrum.it e a tecnologie innovative, offriamo un’esperienza d’acquisto intuitiva, semplice, pratica e a prezzi competitivi.|https://www.brumbrum.it/|2016||Mobility, E-commerce||Milan, Italy|51-200|active||||
Buddyfit|"Buddyfit is, obviously, your fitness buddy :) What does this mean? It means we're your ""person"" when it comes to being fit, healthy and strong: we're an actual digital gym (we have more than 1000 live monthly classes with top notch trainers with whom you can interact), we track your progress and motivate you to keep going. With Buddyfit, you can train when you want, where you want, and how you want to: we have classes for all levels, more than 15 different disciplines and over 40 professional trainers to take you on a journey towards well-being 🖤"|https://www.buddyfit.club/it|2018|Series A|Sport, HealthTech||Genoa, Italy|11-50|active||||
Builtdifferent|Raggiungi la forma fisica migliore della tua vita. Percorsi di allenamento e nutrizionali 100% personalizzati, che evolvono insieme a te attraverso algoritmi proprietari e la supervisione di Trainers e Nutrizionisti esperti.|https://www.builtdifferent.it/|2022|Pre-Seed|HealthTech, Sport, Mobile||Turin, Italy|1-10|active|306.0|||
CAEmate|CAEmate is the innovative company developing WeStatiX SHM, the revolutionary platform for simulation-based Digital Twins applied to Structural Health Monitoring. We are specialized in Mechanical and Civil Engineering, Software Development, and High Perfomance Computing. Now part of Microsoft for Startups Founders Hub.|https://caemate.com/|2017|Seed|Software, SaaS||Bolzano, Italy|11-50|active||||
Carbonibus|Carbonibus is an international carbon offset programs developer. We focus on carbon offset projects that provide strong co-benefits and have a positive impact on the local population, such as clean cookstoves projects in sub-Saharan Africa.|https://www.carbonibus.org/|2022||HealthTech, Sustainability, GreenTech||Milan, Italy|11-50|active||||
Cassandra|Cassandra uses machine learning techniques to guide you in your budget allocation decisions by predicting ROI of different scenarios. It analyzes historical data and its correlation with dozens of variables to define the optimal budget allocation in order to maximize ROI.|https://www.cassandra.app/|2022|Pre-Seed|AI, Machine Learning, Marketing||Milan, Italy|11-50|active||||
Cents|Cents is the cross-sector fundraising platform that enables businesses and nonprofits to unify giving experiences and drive positive change worldwide.|https://www.centsdonations.com/en|2021||Software||Milan, Italy|1-10|active||||
CGM Verse|Verse is an innovative Startup specialized in the Web3 sector.|https://cgm-verse.io/|2023||Blockchain||Turin, Italy|11-50|active||||
chiama.ai|"""Chiama.ai"" è l’alleato sempre disponibile per le attività. Risponde al telefono, mettendo a disposizione un servizio di altissimo livello. Sempre disponibile, garantisce un servizio attivo 24 ore su 24, 7 giorni su 7."|https://chiama.ai/|2023||AI||Verona, Italy|1-10|active||||
Ciao Elsa|Elsa è la tua guida al mondo della previdenza.|https://www.ciaoelsa.com/|2023||Founded by Women, InsurTech, Software||Padova, Italy|201-500|active||||
Climate Tec|Climate Tec è un’azienda italiana specializzata nella progettazione, realizzazione e manutenzione di impianti tecnologici ad alta efficienza energetica per il settore industriale, commerciale e residenziale. I suoi servizi spaziano dagli impianti di climatizzazione, riscaldamento e ventilazione (HVAC), agli impianti idrico-sanitari, antincendio e sistemi di trattamento aria. L’azienda integra tecnologie innovative per ridurre i consumi energetici e le emissioni di CO₂, puntando su soluzioni a basso impatto ambientale come pompe di calore, sistemi a recupero energetico, impianti a fluido refrigerante variabile (VRV/VRF) e controllo remoto degli impianti. Climate Tec si propone come partner unico per gestire tutte le fasi di progetto: studio preliminare, progettazione tecnica, installazione e gestione post-vendita.|https://www.climatetec.it/|2022||Sustainability, GreenTech, B2B||Corbetta, Italy|1-10|active||||
Clubbing|Clubbing è la startup che vuole migliorare il settore dell’intrattenimento notturno, semplificando e digitalizzando l’esperienza tra utenti e locali.|https://clubbingapp.it/|2020|Series A|Entertainment, Founded by Women, Mobile||Milan, Italy|11-50|active|400.0|||
CoffeeFrom|Coffeefrom è una start up innovativa a vocazione sociale (SIAVS) composta da un team multidisciplinare, nata da un impulso imprenditoriale de Il Giardinone Cooperativa Sociale.|https://coffeefrom.it/|2022||BioTech, Sustainability, GreenTech, Design||Locate di Triulzi, Italy|1-10|active||||
Colibryx|Creiamo soluzioni digitali come gestionali, siti web, applicazioni, ma non solo. Siamo specializzati nell'utilizzo di tecnologie all'avanguardia come Blockchain e Intelligenza Artificiale. Colibryx è una software house con un metodo scientifico, tecnologico e senza giri di parole.|https://colibryx.com/|2022||AI, Blockchain||Verona, Italy|1-10|active||||
Collecto App|Democratizziamo il collezionismo di lusso.|https://collectoapp.com/|2024||Blockchain, Luxury||Milan, Italy|1-10|active||||
Complaion|Complaion aiuta PMI a implementare, mantenere, e valorizzare le certificazioni ISO.|https://www.complaion.com/|2023||LegalTech, B2B||Milan, Italy|11-50|active||||
compri|Diamo i superpoteri ai team di Procurement. I team di procurement delle PMI affrontano complessità crescenti con strumenti obsoleti, faticando a tenere il passo con sfide crescenti come compliance, interruzioni della supply chain e la gestione inefficace dello spending. Compri cambia le carte in tavola, dando i superpoteri con l'AI. Funzionando come un Assistente di Procurement Excellence, la nostra piattaforma trasforma i dati provenienti da ERP, email e fonti esterne in informazioni utili, integrandosi in meno di 30 giorni. Automatizziamo la compliance, identifichiamo risparmi ed eliminiamo attività ripetitive, permettendo ai team di concentrarsi sulla vera crescita strategica|https://www.compri.ai/|2024||AI, Software||Milan, Italy|1-10|active||||
CON4US|We facilitate Company-GenZ Meeting & Match with our Digital Recruitment Platform.|https://con4us.com/|2021||HR||Milan, Italy|11-50|active||||
coosmo|bridging the AI adoption gap, starting from European SMEs. we help European small and medium businesses identify and deploy the best AI solutions to solve their business problems.|https://coosmo.co/|2024||AI||Milan, Italy|1-10|active||||
Cortilia|Cortilia is the leading fresh food online retailer in Italy, offering to its customer base the best service and the best products from excellent producers. Cortilia is the perfect fit for all those wishing to bring into their kitchen the authentic flavours of genuine products. How does it work? Setting up an account is easy and free. Once logged in, you can either place a one-off order or a subscription one (based on a weekly or bimonthly delivery) and you’ll receive your fruit & veg box to be topped with any other product you fancy: fresh fish and seafood, cheese, bread, meat, jams, eggs, wine, home-made beer and much more. Cortilia represents a brand-new way of enhancing your local economy. To make the most out of it and avoid unnecessary waste, farmers are aggregated in virtual markets. Products are picked and delivered to your door in just a few hours to guarantee quality and freshness: “Just in time” is one of our mottos!|https://about.cortilia.it/|2011||FoodTech, E-commerce||Cassina de' Pecchi, Italy|51-200|active||||
Cosmico|Siamo la piattaforma che connette i talenti del digitale con le aziende più ambiziose, utilizzando il lavoro da remoto.|https://wearecosmico.com/it|2019|Series A|B2B, B2C, HR||Milan, Italy|11-50|active||||
CreationDose|CreationDose è la MediaTech Company al centro della Creator Economy.|https://creationdose.com/it|2018||Marketing||Catania, Italy|51-200|active||||
CrescendoCare|Empowering scientists and clinicians with unbiased, large-scale, targeted, and untargeted proteomics and lipidomics, as well as therapeutic drug monitoring (TDM). Our approach harnesses advanced UPLC-MS/MS techniques to enhance the understanding of biological processes and elevate diagnostic capabilities in both clinical and research settings.|https://www.crescendocare.com/|2020||EdTech||Milan, Italy|1-10|active||||
Crono|Crono is an AI Sales Automation Platform for B2B sales teams to find qualified leads, automate quality outreach and hit sales targets faster. Between AI Agents and traditional platforms, Crono redefines outbound sales to turn SDRs/AEs into orchestrators using accurate data, smart automations and AI.⚡️|https://www.crono.one/|2022|Pre-Seed|AI, SaaS, B2B, Sales||Milan, Italy|11-50|active|500.0|||
Cubish|Empower your reality|https://www.cubish.com/|2025||AR, VR||Naples, Italy|11-50|active||||
Cultifutura|Our products change the way people interact with and understand their food by integrating vertical farming into daily life. We aim to impact the culture of any workspace and unite people through the passion of growing your own food and making the world more sustainable.|http://www.cultifutura.com/|2020||GreenTech||Milan, Italy|1-10|active||||
CyberGuardX|CyberGuardX è una piattaforma innovativa di Extended Detection and Response (XDR), con funzionalità di AI, Machine Learning e backup decentralizzati, pensata per garantire una protezione completa e proattiva contro le minacce informatiche, specificamente progettata per le esigenze delle piccole e medie imprese (PMI) e delle Pubbliche Amministrazioni (PA). Integrando intelligenza artificiale avanzata e un sistema di ripristino cloud decentralizzato, CyberGuardX offre una sicurezza informatica di livello enterprise, facile da implementare e gestire.|https://cyberguard-x.com/|2024||Cybersecurity, Machine Learning, AI||Cava de' Tirreni, Italy|1-10|active||||
Datapizza|Vogliamo un'Italia competitiva nel Tech - con Datapizza la stiamo costruendo.|https://datapizza.tech/|2021||AI, Community||Milan, Italy|11-50|active||||
DAX Solar S.r.l.|Esperti del settore fotovoltaico con oltre 35 anni di esperienza. Un team specializzato nella realizzazione di industrie per la produzione di pannelli solari fotovoltaici con un forte focus sull’innovazione.|https://daxsolar.it/|2023||GreenTech||Milan, Italy|1-10|active||||
Deentra|Deentra developed an innovative business model that allows people to purchase a photovoltaic panel and install it on a company's roof, enabling anyone to produce sustainable energy regardless of where they live.|https://www.deentra.io/|2023||GreenTech||Milan, Italy|1-10|active||||
DeepTree|Maximize M&A success with AI-driven brokerage. Utilize our advanced AI engine to find ideal acquisitions or sell your business with zero upfront costs.|https://www.deeptree.it/it|2024||Software, AI||Milan, Italy|1-10|active||||
Delfi Security|Every day, thousands of stolen business credentials end up for sale on the dark web, often for as little as $5. Our platform allows your business to detect and neutralize the risk before breached passwords end up in the hands of cybercriminals. Learn more at www.delfisec.com.|https://delfisec.com/|2023||Cybersecurity, Software||Milan, Italy|1-10|active||||
didimora|Con la nostra tecnologia elaboriamo analisi complete e indipendenti per suggerirti il modo migliore di valorizzare un immobile. Quando sei in dubbio se comprare o meno, se ristrutturare o vendere e quando ti sembra che nessuno faccia il tuo interesse, ci siamo noi. Con la tecnologia, la competenza e l’ambiziosa visione di creare un mondo più bello per tutti.|https://didimora.com/|2021||PropTech||Milan, Italy|11-50|active||||
Digitalrehab|DigitalRehab, fondata nel maggio 2021 a Milano, è specializzata in terapie digitali certificate per la riabilitazione motoria e cognitiva, sviluppando il dispositivo AuReha costituito da una maglia sensoristica, un’app di serious gaming e una piattaforma web per fisioterapisti|https://www.digitalrehab.eu/|2021||SaaS, HealthTech, AI||Milan, Italy|1-10|active||||
DigitalRehab|DigitalRehab riscrive le regole della riabilitazione, trasformandola in un’esperienza connessa, accessibile e science-based.|https://www.digitalrehab.eu/|2021||HealthTech||Milan, Italy|1-10|active||||
Digitiamo.ai|Digitiamo è una realtà appassionata e innovativa specializzata nello sviluppo di soluzioni e creazione di startup basate sull'Intelligenza Artificiale. Con AI Business Academy, Business Design e AI Business Development, accompagniamo le aziende verso il futuro, ottimizzando processi e migliorando performance. La nostra missione è diffondere la consapevolezza del potenziale rivoluzionario dell'AI, rendendo ogni azienda pronta per le sfide di domani.|https://digitiamo.com/|2020||AI, Machine Learning||Brunello, Italy|11-50|active||||
Dilica|Addressing the hidden costs and complexities of data in robotics and IoT, Dilica offers Mosaico, a cutting-edge data platform designed for the unique challenges of robotics and IoT data. Mosaico facilitates efficient data gathering, processing, and multimodal search, supporting versioning and data lineage to optimize the entire data lifecycle for sophisticated robotic and IoT systems.|https://dilica.it/|2023||Robotics, IoT, AI||Parma, Italy|1-10|active||||
Dreamfarm foods|We are a team of food-lovers 100% made in Italy! We dreamt of a better, tastier, more sustainable future and decided to join forces to create something special.|https://dream-farm.it/|2021|Pre-Seed|Sustainability, FoodTech||Parma, Italy|1-10|active||||
Drilly|🚀 Drilly è la startup che rivoluziona l’esperienza di acquisto tech, rendendola sostenibile e circolare con una soluzione flessibile di prova prodotto.|https://www.drilly.it/business|2024||GreenTech, Founded by Women, Retail||Rovigo, Italy|1-10|active||||
eartha|"""Una Società di Consulenza che svolge attività di Analisi e Ricerca in materia di Sostenibilità."|https://www.eartha.it/|2023||B2B, GreenTech, Sustainability||Rogolo, Italy|1-10|active||||
Eco Efficiency|Siamo una startup innovativa con il brevetto per l'analisi degli impianti fotovoltaici al fine di ottimizzarli ed efficientarli. Abbiamo la passione per le energie rinnovabili e abbiamo iniziato il nostro percorso proprio dal fotovoltaico ma avendo cura di sviluppare anche altri ambiti delle rinnovabili come ad esempio l'eolico.|http://ecoefficiency.it/|2022||GreenTech||Milan, Italy|1-10|active||||
Ecosmic|Ecosmic is an Italian-Dutch startup with the goal to transform space into a sustainable and cost-effective industry. Our mission is to provide modular, innovative, and seamlessly integrable solutions for space operators, enabling them to maximize the effectiveness of their missions. The first challenge that we are solving is space traffic management: with our product SAFE, we enhance the safety of space by offering a service that generates alerts whenever a satellite is at risk of colliding with another satellite or debris. At Ecosmic, we are committed to upcycling space technology, ensuring a cleaner and more efficient use of the orbital environment.|https://www.ecosmic.space/|2023|Pre-Seed|Aerospace, Defense, Founded by Women, Sustainability||Turin, Italy|11-50|active||||
Eiko Power|Batteries with brain|https://www.eikopower.com/|2020||GreenTech||Milan, Italy|11-50|active||||
elephantroom|"""Elephantroom transforms the way we furnish our homes."|https://elephantroom.ai/|2025||AI, Design||Milan, Italy|1-10|active||||
Elevatee|Connettiamo i Brand con il loro pubblico di riferimento attraverso la generazione di leads ultra qualificate con strategie di marketing omnicanale avanzate.|https://elevatee.io/|2023||AdTech, Marketing||Naples, Italy|11-50|active||||
Elibra|Elibra è una startup di prodotto con una storia lunga 20 anni.|https://www.elibra.eu/|2017||LegalTech||Milan, Italy|11-50|active||||
